"category","open_data","restricted","id","downloads","likes","license","lastModified"
"automation","true","false","lockon/xlam-function-calling-60k","3417","0","cc-by-4.0","2025-01-24T19:25:58.000Z"
"eq_text","true","false","mteb/toxic_conversations_50k","3291","19","cc-by-4.0","2026-02-24T21:18:12.000Z"
"eq_text","true","false","shibing624/sharegpt_gpt4","3213","138","cc-by-4.0","2024-02-23T05:38:24.000Z"
"eq_text","true","false","openbmb/UltraChat","3079","482","mit","2024-02-22T02:26:29.000Z"
"eq_text","true","false","Aeala/ShareGPT_Vicuna_unfiltered","3029","51","apache-2.0","2023-06-01T07:03:50.000Z"
"automation","false","true","McGill-NLP/agent-reward-bench","2979","4","UNKNOWN","2025-04-21T03:50:40.000Z"
"automation","false","true","neulab/agent-data-collection","2761","107","UNKNOWN","2026-03-02T06:41:05.000Z"
"automation","false","true","NathanGavenski/coinrun_hard_agent_only_successful","2491","0","UNKNOWN","2026-01-27T11:16:43.000Z"
"eq_text","false","true","mteb/emotion","2454","17","unknown","2025-07-06T13:59:11.000Z"
"eq_text","false","true","Lin-Chen/ShareGPT4V","2439","305","cc-by-nc-4.0","2024-06-06T13:52:04.000Z"
"automation","false","true","aidando73/llama-coding-agent-evals","2416","0","UNKNOWN","2025-01-22T11:39:52.000Z"
"automation","false","true","iamtarun/code_instructions_120k_alpaca","2396","62","UNKNOWN","2023-07-27T15:49:10.000Z"
"automation","false","true","agi-agent/os-world-images","2352","1","UNKNOWN","2026-02-06T00:13:01.000Z"
"automation","true","false","open-thoughts/OpenThoughts-Agent-v1-SFT","2329","80","apache-2.0","2026-01-27T22:59:08.000Z"
"other","false","true","llamafactory/RLHF-V","2248","13","cc-by-nc-4.0","2024-09-01T16:35:50.000Z"
"automation","true","false","xlangai/AgentNet","2085","72","mit","2026-01-09T03:23:13.000Z"
"eq_text","false","true","LNTANOooo/sharegpt52k","2051","3","UNKNOWN","2024-02-18T08:51:14.000Z"
"eq_text","false","true","Amod/mental_health_counseling_conversations","2000","465","other","2025-11-25T20:32:10.000Z"
"eq_text","false","false","lmsys/chatbot_arena_conversations","1907","445","cc","2023-09-30T01:04:44.000Z"
"eq_text","false","true","ShareGPT4Video/ShareGPT4Video","1823","200","cc-by-nc-4.0","2025-03-07T06:58:12.000Z"
"eq_text","true","false","OpenAssistant/oasst_top1_2023-08-25","1807","66","apache-2.0","2023-08-28T12:44:26.000Z"
"automation","true","false","manikandan18ramalingam/agentic-ai-options-results","1742","0","apache-2.0","2026-03-07T18:34:55.000Z"
"eq_text","false","true","BeardedMonster/ultrachat-metadata","1738","0","UNKNOWN","2025-11-06T22:37:57.000Z"
"eq_text","true","false","ShareGPTVideo/train_video_and_instruction","1729","33","apache-2.0","2024-12-14T21:29:49.000Z"
"eq_text","false","true","Yehor/en-uk-translation-conversations","1681","0","UNKNOWN","2025-07-11T17:04:13.000Z"
"eq_text","false","true","NickL77/llama8b-eagle-sharegpt","1626","0","UNKNOWN","2025-04-23T22:07:43.000Z"
"eq_text","false","true","ChaoticNeutrals/Medical_Instruct-ShareGPT","1577","1","other","2024-11-13T00:41:08.000Z"
"eq_text","false","true","JefiRyan/mental-health-conversations","1570","0","UNKNOWN","2024-10-10T13:23:30.000Z"
"eq_text","true","false","adrianf12/healthcare_conversational_prompt_completion_10k","1563","0","mit","2025-10-12T13:49:07.000Z"
"eq_text","false","true","dineshkarki/nepali-health-qa-sharegpt","1553","0","UNKNOWN","2025-09-01T13:21:23.000Z"
"eq_text","false","true","bouthros/share-gpt-medical","1552","1","UNKNOWN","2025-01-11T08:43:02.000Z"
"eq_text","false","true","Nexdata/203_Hours_Korean_Medical_Entities_Real-world_Casual_Conversation_and_Monologue_speech_dataset","1549","0","cc-by-nd-4.0","2025-04-24T07:20:25.000Z"
"eq_text","false","true","naver-clova-conversation/klue-tc-tsv","1546","1","UNKNOWN","2021-05-26T06:26:31.000Z"
"automation","false","true","SciPhi/AgentSearch-V1","1525","92","UNKNOWN","2024-01-14T03:54:39.000Z"
"automation","true","false","llamafactory/reason-tool-use-demo-1500","1492","1","apache-2.0","2026-01-06T17:52:14.000Z"
"eq_text","true","false","OpenGVLab/ShareGPT-4o","1469","196","mit","2024-08-17T07:51:28.000Z"
"automation","false","false","microsoft/orca-agentinstruct-1M-v1","1440","460","cdla-permissive-2.0","2024-11-01T00:14:29.000Z"
"automation","true","false","AgentPublic/legi","1437","12","etalab-2.0","2026-02-26T15:04:44.000Z"
"automation","false","true","Intelligent-Internet/ii-agent_gaia-benchmark_validation","1373","8","UNKNOWN","2025-05-17T14:38:24.000Z"
"automation","true","false","Kwai-Klear/SWE-smith-mini_swe_agent_plus-trajectories-66k","1333","9","mit","2025-11-06T12:45:43.000Z"
"automation","false","true","agentlans/common-crawl-sample","1265","7","UNKNOWN","2024-05-13T22:29:44.000Z"
"automation","false","true","nvidia/Nemotron-AIQ-Agentic-Safety-Dataset-1.0","1211","14","other","2025-12-06T23:07:38.000Z"
"eq_text","true","false","LasagnaS/10k-mental-health-conversation","1208","0","cc-by-4.0","2025-12-05T05:27:38.000Z"
"eq_text","true","false","HuggingFaceTB/everyday-conversations-llama3.1-2k","1192","126","apache-2.0","2025-01-29T23:16:26.000Z"
"automation","true","false","Nan-Do/instructional_code-search-net-python","1189","33","apache-2.0","2023-05-20T05:09:44.000Z"
"automation","true","false","meta-agents-research-environments/gaia2_filesystem","1188","1","cc-by-4.0","2025-09-10T06:41:58.000Z"
"eq_text","true","false","nerd-swayam/Mental_Health_Support_ChatBOT_Conversation","1162","0","apache-2.0","2025-12-14T08:14:03.000Z"
"other","false","true","sdhossain24/safe-rlhf-alpaca-train-en-fr-de","1154","0","UNKNOWN","2026-02-11T18:22:40.000Z"
"automation","false","true","agent-evals/hal_traces","1140","4","UNKNOWN","2026-02-01T13:33:52.000Z"
"automation","false","true","agents-course/unit3-invitees","1110","14","UNKNOWN","2025-03-27T12:21:44.000Z"
"automation","false","true","19arjun89/ai_recruiting_agent_usage","1104","0","UNKNOWN","2026-03-07T14:40:14.000Z"
"eq_text","true","false","brighter-dataset/BRIGHTER-emotion-categories","1031","15","cc-by-4.0","2025-11-25T11:54:03.000Z"
"automation","true","false","agentlans/high-quality-english-sentences","989","31","odc-by","2024-10-01T13:36:37.000Z"
"automation","false","true","agents-course/final-certificates","982","10","UNKNOWN","2026-03-07T18:24:27.000Z"
"eq_text","true","false","OnDeviceMedNotes/synthetic-medical-conversations-deepseek-v3","981","33","mit","2025-01-29T03:11:47.000Z"
"eq_text","true","false","mii-community/UsenetArchiveIT-conversations","975","8","apache-2.0","2024-03-26T19:58:08.000Z"
"other","false","true","RLHFlow/HH-RLHF-Helpful-standard","960","4","UNKNOWN","2024-04-27T22:37:13.000Z"
"automation","true","false","nvidia/Nemotron-Agentic-v1","956","148","cc-by-4.0","2025-12-15T13:48:35.000Z"
"automation","false","true","open-world-agents/example_dataset","937","0","UNKNOWN","2025-06-05T11:53:00.000Z"
"eq_text","false","false","Kostya165/ru_emotion_dvach","919","0","cc-by-sa-4.0","2025-04-21T14:37:13.000Z"
"automation","false","true","zai-org/AgentInstruct","918","231","UNKNOWN","2023-10-23T12:36:19.000Z"
"eq_text","false","true","Vaishnavi-29/karuna-emotion-dataset","902","0","other","2026-01-20T20:18:15.000Z"
"automation","true","false","nebius/SWE-agent-trajectories","863","71","cc-by-4.0","2024-12-23T12:42:05.000Z"
"eq_text","false","true","learnanything/sharegpt_v3_unfiltered_cleaned_split","847","4","UNKNOWN","2023-08-08T15:59:34.000Z"
"eq_text","true","false","EQ4You/Emotional_Speech","846","5","apache-2.0","2024-04-16T05:37:57.000Z"
"eq_text","true","false","SeyhaLite/Q-A-M-khmer-Gym-Health-Conversations","843","0","apache-2.0","2026-02-09T05:24:22.000Z"
"eq_text","false","true","Lakshay310/mental_health_counseling_conversations","826","0","other","2026-02-08T12:10:07.000Z"
"automation","true","false","agenticx/DrugBank","822","0","mit","2025-09-06T21:03:06.000Z"
"eq_text","true","false","FreedomIntelligence/ShareGPT-4o-Image","813","97","apache-2.0","2025-07-01T04:36:08.000Z"
"eq_text","false","true","MaziyarPanahi/synthetic-medical-conversations-deepseek-v3-chat","808","6","UNKNOWN","2025-01-29T13:39:52.000Z"
"automation","false","true","owl-agent/gaia_train_scored_planner","802","1","UNKNOWN","2025-05-01T17:02:28.000Z"
"automation","true","false","Snowflake/AgentWorldModel-1K","766","63","cc-by-4.0","2026-02-17T18:21:16.000Z"
"automation","true","false","TokenBender/code_instructions_122k_alpaca_style","749","79","apache-2.0","2023-07-20T19:59:33.000Z"
"eq_text","false","true","ChavyvAkvar/mental_health_counseling_conversations-Converted","740","0","UNKNOWN","2025-09-05T08:18:30.000Z"
"eq_text","true","false","microsoft/NextCoderDataset-Conversational","736","15","mit","2025-07-08T15:02:57.000Z"
"eq_text","false","true","philschmid/guanaco-sharegpt-style","729","48","UNKNOWN","2023-11-13T13:24:10.000Z"
"automation","false","true","Lakera/b3-agent-security-benchmark-weak","715","3","other","2025-11-05T15:14:17.000Z"
"eq_text","false","true","PJMixers-Dev/medical-o1-reasoning-SFT-ENG-ShareGPT","715","0","UNKNOWN","2025-03-21T00:32:00.000Z"
"eq_text","true","false","hypervariance/function-calling-sharegpt","708","44","apache-2.0","2023-12-08T18:25:19.000Z"
"eq_text","true","false","RyokoAI/ShareGPT52K","707","355","cc0-1.0","2023-04-02T13:16:51.000Z"
"automation","false","true","Lyric1010/test-agent-dropout","704","0","UNKNOWN","2025-10-23T02:59:33.000Z"
"eq_text","false","true","tuandunghcmut/bfcl-memory_prereq_conversation__memory_healthcare","703","0","UNKNOWN","2025-11-01T19:50:01.000Z"
"eq_text","false","true","lemonhat/gaia_conversations_5k_v1_processed","699","0","UNKNOWN","2025-08-01T23:58:47.000Z"
"eq_text","false","true","PJMixers-Dev/medical-o1-reasoning-SFT-ENG-1k-think-512-response-filtered-ShareGPT","690","0","UNKNOWN","2025-03-21T00:39:13.000Z"
"automation","false","true","agentlans/chatgpt","679","0","UNKNOWN","2026-01-22T06:00:00.000Z"
"eq_text","false","true","ksterx/hle-no-img-conversational-format","668","0","UNKNOWN","2025-07-16T18:16:15.000Z"
"automation","false","true","agentsea/wave-ui-25k","665","39","UNKNOWN","2024-07-03T04:13:40.000Z"
"eq_text","false","true","PJMixers-Dev/Medical-R1-Distill-Data-1k-think-512-response-filtered-ShareGPT","663","0","UNKNOWN","2025-03-23T21:54:47.000Z"
"eq_text","false","true","lemonhat/gaia_conversations_10_v2_processed","662","0","UNKNOWN","2025-08-04T23:34:42.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-surprise","661","0","UNKNOWN","2025-06-02T16:30:38.000Z"
"automation","false","true","agents-course/course-certificates-of-excellence","657","9","UNKNOWN","2026-03-07T18:24:25.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-love","649","0","UNKNOWN","2025-06-02T16:28:03.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-anger","648","0","UNKNOWN","2025-06-02T16:33:07.000Z"
"other","true","false","kunishou/hh-rlhf-49k-ja-single-turn","648","1","mit","2023-11-02T14:30:34.000Z"
"eq_text","false","true","MCINext/chatbot-conversational-sentiment-analysis-tone-user-classification","646","0","UNKNOWN","2025-06-02T16:20:47.000Z"
"automation","false","true","UniVA-Agent/UniVA-Bench","646","12","UNKNOWN","2025-11-21T14:25:04.000Z"
"eq_text","true","false","agentlans/thomas-yanxin-MT-SFT-ShareGPT","645","1","apache-2.0","2025-12-13T18:12:36.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-friendship","643","0","UNKNOWN","2025-06-02T16:32:17.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-satisfaction","643","0","UNKNOWN","2025-06-02T16:19:43.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-sadness","641","0","UNKNOWN","2025-06-02T16:29:37.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-fear","636","0","UNKNOWN","2025-06-02T16:31:12.000Z"
"automation","true","false","aldsouza/health-agent-dataset","629","0","mit","2025-09-21T02:25:36.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-jealousy","622","0","UNKNOWN","2025-06-02T16:28:49.000Z"
"eq_text","true","false","slaab/Medical-Conversational-Dataset-Indic","619","0","mit","2025-04-08T09:09:23.000Z"
"eq_text","false","true","marcuscedricridia/Medical-R1-Distill-Data-deepclean-sharegpt","609","1","UNKNOWN","2025-04-03T20:37:58.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-tone-chatbot-classification","604","0","UNKNOWN","2025-06-02T16:21:46.000Z"
"automation","true","false","cfahlgren1/react-code-instructions","604","157","mit","2025-02-27T21:04:14.000Z"
"automation","false","true","AgentAlphaAGI/Paper-Review-Dataset","597","5","unknown","2026-03-05T23:15:09.000Z"
"automation","true","false","MathAndMagic/function-calling","594","9","apache-2.0","2024-02-02T23:04:53.000Z"
"eq_text","true","false","ThomasTheMaker/mental_health_counseling_conversations","591","0","apache-2.0","2025-06-15T05:19:46.000Z"
"eq_text","false","true","marcuscedricridia/Medical-R1-Distill-Data-deepclean-sharegpt-deepclean-sharegpt","589","0","UNKNOWN","2025-04-04T19:07:30.000Z"
"eq_text","true","false","slaab/Law-Conversational-Dataset-Indic","580","0","mit","2025-04-08T09:12:28.000Z"
"automation","true","false","prem-research/Funcdex-MT-Function-Calling","576","2","mit","2025-11-15T10:56:26.000Z"
"automation","false","true","agent404/speech","572","0","UNKNOWN","2025-10-19T17:02:00.000Z"
"eq_text","true","false","ChristophSchuhmann/emotions","571","2","apache-2.0","2023-11-15T08:42:51.000Z"
"eq_text","false","true","openchat/openchat_sharegpt4_dataset","564","173","UNKNOWN","2023-07-01T13:20:31.000Z"
"automation","true","false","AgentPublic/open_government","560","3","apache-2.0","2025-01-31T03:54:28.000Z"
"eq_text","true","false","shareAI/ShareGPT-Chinese-English-90k","559","277","apache-2.0","2025-12-29T15:43:05.000Z"
"eq_text","false","true","m8than/raccoon_instruct_conversation","558","3","UNKNOWN","2023-09-23T03:52:13.000Z"
"eq_text","false","true","SetFit/emotion","553","29","UNKNOWN","2022-04-03T20:47:37.000Z"
"automation","false","true","m-ric/agents_medium_benchmark_3","552","0","UNKNOWN","2025-01-08T16:48:49.000Z"
"automation","true","false","open-paws/tool-use-llama-format","545","2","apache-2.0","2025-08-06T03:08:55.000Z"
"eq_text","true","false","thomas-yanxin/MT-SFT-ShareGPT","521","12","apache-2.0","2024-08-18T06:40:09.000Z"
"automation","true","false","AgenTao/cerebro","513","1","mit","2025-06-10T11:30:15.000Z"
"eq_text","false","true","laion/openthoughts-4-math-qwen3-32b-7k-annotated-sharegpt","510","0","UNKNOWN","2025-12-26T12:22:03.000Z"
"eq_text","false","true","Hemanth5353/mental_health_counseling_conversations","509","0","other","2025-12-06T10:07:14.000Z"
"automation","false","true","lainmn/AgentDS-Healthcare","507","3","cc-by-nc-sa-4.0","2026-02-02T00:59:43.000Z"
"eq_text","true","false","laion/laions_got_talent_with_voice_emotion_speed_tags_for_orpheus_tuning","505","6","apache-2.0","2025-04-04T11:38:48.000Z"
"eq_text","false","true","GreenNode/emotion-vn","499","1","cc-by-nc-sa-4.0","2025-07-31T06:38:52.000Z"
"automation","true","false","Voxel51/fiftyone-function-calling-14k","491","10","apache-2.0","2025-05-15T17:32:24.000Z"
"other","false","true","Dahoas/full-hh-rlhf","489","87","UNKNOWN","2023-02-23T17:29:46.000Z"
"automation","false","true","Jofthomas/hermes-function-calling-thinking-V1","483","74","UNKNOWN","2025-02-16T08:36:10.000Z"
"automation","true","false","agentlans/multilingual-text","474","4","odc-by","2025-09-14T20:24:18.000Z"
"automation","true","false","xbench/AgentIF-OneDay","462","3","mit","2026-01-29T15:43:03.000Z"
"eq_text","false","true","GreenNode/toxic-conversations-50k-vn","458","0","cc-by-nc-sa-4.0","2025-07-31T06:38:59.000Z"
"automation","false","true","agentlans/combined-roleplay","452","11","UNKNOWN","2025-03-13T04:52:45.000Z"
"automation","false","true","allenai/Dolci-Instruct-SFT-Tool-Use","450","13","UNKNOWN","2026-01-05T16:24:17.000Z"
"other","false","true","yimingzhang/hh-rlhf-safety-v3","447","0","UNKNOWN","2024-07-04T23:04:54.000Z"
"eq_text","false","true","winglian/pirate-ultrachat-10k","442","4","UNKNOWN","2025-05-07T22:05:11.000Z"
"eq_text","false","true","MCINext/synthetic-persian-chatbot-conversational-sentiment-analysis-happiness","429","0","UNKNOWN","2025-06-02T16:27:10.000Z"
"automation","true","false","sunblaze-ucb/AgentSynth","429","5","apache-2.0","2025-09-01T20:20:54.000Z"
"eq_text","true","false","humyn-labs/korean-voice-emotion-dataset","428","17","cc-by-4.0","2026-03-03T09:50:55.000Z"
"automation","true","false","glaiveai/glaive-function-calling","421","103","apache-2.0","2023-09-27T18:04:36.000Z"
"eq_text","false","true","mteb/persian_text_emotion","416","0","UNKNOWN","2025-07-05T17:57:21.000Z"
"eq_text","false","true","GEM/conversational_weather","408","5","cc-by-nc-4.0","2022-10-24T15:30:13.000Z"
"eq_text","false","true","drguolai/medical_r1_distill_sft_Chinese_sharegpt","402","0","UNKNOWN","2025-04-02T12:17:33.000Z"
"automation","false","true","agentlans/QuixiAI-dolphin-distill","395","0","UNKNOWN","2025-12-13T12:03:21.000Z"
"eq_text","true","false","boltuix/emotions-dataset","394","32","mit","2025-05-25T15:41:59.000Z"
"automation","false","true","HAERAE-HUB/hret_agent_idavidrein_gpqa_diamond_translated","390","0","UNKNOWN","2025-01-20T08:08:29.000Z"
"automation","false","true","agentlans/claude","388","1","UNKNOWN","2026-03-03T22:11:14.000Z"
"other","false","true","trl-internal-testing/hh-rlhf-trl-style","386","11","UNKNOWN","2024-03-13T15:33:43.000Z"
"eq_text","true","false","slaab/Finance-Conversational-Dataset-Indic","382","1","mit","2025-04-08T11:15:07.000Z"
"eq_text","true","false","bpingua/medical_meadow_wikidoc_sharegpt","375","0","mit","2025-02-07T20:03:48.000Z"
"eq_text","true","false","ministere-culture/comparia-conversations","373","69","etalab-2.0","2026-03-05T22:35:13.000Z"
"other","false","true","openbmb/RLHF-V-Dataset","368","67","cc-by-nc-4.0","2024-05-28T04:31:38.000Z"
"automation","false","false","hkust-nlp/agentboard","367","13","gpl-2.0","2024-06-24T08:04:01.000Z"
"eq_text","false","true","tonadeleon/books_and_conversations","366","0","UNKNOWN","2025-03-24T05:50:09.000Z"
"eq_text","true","false","VocalNet/UltraChat-vocalnet","365","0","apache-2.0","2025-04-25T11:57:51.000Z"
"eq_text","false","true","ChaoticNeutrals/Creative_Writing-ShareGPT","364","13","other","2024-11-12T21:00:01.000Z"
"eq_text","false","true","pollen-robotics/reachy2_emotions_library","364","0","UNKNOWN","2025-11-03T11:38:24.000Z"
"automation","true","false","Locutusque/function-calling-chatml","357","174","apache-2.0","2024-07-16T11:50:45.000Z"
"eq_text","false","false","kingbri/PIPPA-shareGPT","356","27","agpl-3.0","2023-09-03T03:12:50.000Z"
"automation","true","false","internlm/Agent-FLAN","352","100","apache-2.0","2024-03-20T09:45:55.000Z"
"eq_text","false","true","LeroyDyer/conversations","351","1","UNKNOWN","2024-08-20T06:46:49.000Z"
"eq_text","false","false","cirimus/super-emotion","348","5","cc-by-sa-4.0","2025-07-28T04:28:27.000Z"
"automation","true","false","interstellarninja/hermes_reasoning_tool_use","348","157","apache-2.0","2025-12-26T13:54:04.000Z"
"automation","false","false","agentlans/wikipedia-paragraphs","347","3","cc-by-sa-3.0","2024-10-02T17:05:23.000Z"
"automation","true","false","Solaris99/AgentBank","341","20","apache-2.0","2024-10-10T07:32:14.000Z"
"automation","false","true","agentlans/grammar-correction","340","9","UNKNOWN","2024-12-29T04:59:44.000Z"
"eq_text","false","true","wj2015/lihuowang-sharegpt","335","3","unknown","2025-01-15T08:25:28.000Z"
"eq_text","true","false","hiyouga/glaive-function-calling-v2-sharegpt","334","52","apache-2.0","2024-07-20T16:10:34.000Z"
"eq_text","false","false","recursal/Europarl-Conversation","333","1","cc-by-sa-4.0","2024-06-20T05:19:26.000Z"
"eq_text","true","false","Arun63/sharegpt-structured-output-json","331","6","apache-2.0","2025-02-01T20:53:29.000Z"
"automation","false","true","eth-sri/agentbench","329","1","UNKNOWN","2026-02-24T08:10:41.000Z"
"automation","true","false","HanXiao1999/UI-Genie-Agent-16k","327","0","mit","2025-11-29T14:20:02.000Z"
"automation","true","false","nex-agi/agent-sft","327","106","odc-by","2025-12-09T11:05:36.000Z"
"eq_text","true","false","Arun63/sharegpt-quizz-generation-json-output","322","1","apache-2.0","2025-02-02T13:23:06.000Z"
"eq_text","false","true","Conversational-Reasoning/Topical-Chat","322","5","UNKNOWN","2023-12-22T16:56:42.000Z"
"eq_text","true","false","empathyai/grocery-ner-dataset","312","0","mit","2025-01-23T14:47:36.000Z"
"automation","false","true","agentlans/multilingual-sentences","309","6","UNKNOWN","2025-03-11T00:18:59.000Z"
"automation","true","false","AgentPublic/cnil","308","1","etalab-2.0","2026-03-06T19:00:43.000Z"
"eq_text","true","false","Abhishekcr448/Hinglish-Everyday-Conversations-1M","303","14","mit","2024-11-26T14:18:02.000Z"
"eq_text","false","true","laion/Emilia-with-Emotion-Annotations","300","26","UNKNOWN","2025-07-20T04:04:24.000Z"
"automation","true","false","yzhuang/Agentic-Long-Context-Understanding-QA","298","13","mit","2025-09-22T17:22:55.000Z"
"eq_text","true","false","MaziyarPanahi/OpenCodeReasoning_ShareGPT","297","9","cc-by-4.0","2025-04-07T18:15:27.000Z"
"eq_text","false","true","smangrul/ultrachat-10k-chatml","297","5","UNKNOWN","2024-01-27T11:50:18.000Z"
"eq_text","false","true","ChaoticNeutrals/Cybersecurity-ShareGPT","296","15","other","2024-11-13T00:17:48.000Z"
"automation","false","true","agentlans/multiturn-chat","295","3","UNKNOWN","2025-11-15T07:43:04.000Z"
"eq_text","false","true","SWE-Arena/conversation_data","293","44","UNKNOWN","2026-02-18T23:54:41.000Z"
"eq_text","true","false","seara/ru_go_emotions","293","18","mit","2023-08-25T19:13:08.000Z"
"eq_text","false","true","SetFit/toxic_conversations","291","12","UNKNOWN","2022-02-11T13:45:54.000Z"
"eq_text","true","false","ShareGPTVideo/train_raw_video","291","2","apache-2.0","2024-10-31T04:17:08.000Z"
"automation","true","false","Fujitsu/agentic-rag-redteam-bench","288","0","cc-by-4.0","2026-02-20T16:05:12.000Z"
"eq_text","true","false","slaab/Computer-Science-Conversational-Dataset-Indic","285","0","mit","2025-04-08T12:42:12.000Z"
